商品,價格1,價格2,網址,圖片
"精修版 新制日檢！絕對合格 N1,N2必背單字大全（25K＋MP3）",302,302,https://shopee.tw//精修版-新制日檢！絕對合格-N1-N2必背單字大全（25K＋MP3）-i.163113630.6501649077,https://cf.shopee.tw/file/8405640e1ed1e7f3fb2da9323be6587e_tn
日檢N2單字大全(搶分進考場),179,179,https://shopee.tw//日檢N2單字大全(搶分進考場)-i.20570968.2357606650,https://cf.shopee.tw/file/c940d04f9ef6c8feeb0b405880dd3567_tn
用聽的背日檢Ｎ2單字3700（長20K+日中朗讀MP3）,277,277,https://shopee.tw//用聽的背日檢Ｎ2單字3700（長20K-日中朗讀MP3）-i.111324738.1754880038,https://cf.shopee.tw/file/5d5db3228285671856a3003bab0841e1_tn
"<建宏>新制日檢！絕對合格N1,N2單字全真模考三回＋詳解201808月/山田社/9789862465073",292,292,https://shopee.tw//-建宏-新制日檢！絕對合格N1-N2單字全真模考三回＋詳解201808月-山田社-9789862465073-i.39144451.1591501241,https://cf.shopee.tw/file/be134efde0ecc6ed36c3ac7b0beafc93_tn
(山田社)袖珍本 精修重音版 新制對應 絕對合格！日檢必背單字N2（50K＋DVD）,230,230,https://shopee.tw//(山田社)袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-i.163145167.7934816794,https://cf.shopee.tw/file/420360c5c556d39383bdedf4aa8c6476_tn
新日檢關鍵單字 N2 JLPT,300,300,https://shopee.tw//新日檢關鍵單字-N2-JLPT-i.46922158.7261082281,https://cf.shopee.tw/file/026b00178e79425e7d59c38652c20a3d_tn
新日檢考試有祕密：全方位N2單字+全真模擬試題(附1MP3),336,336,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-i.163113630.3100490120,https://cf.shopee.tw/file/160945ad4644e27ec1d9f3ceba76acab_tn
最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！ [二手書_良好] 2995,310,310,https://shopee.tw//最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！-二手書_良好-2995-i.159834670.7953785637,https://cf.shopee.tw/file/56bbc7dd1e92b2f7f3d59fe5f66dbcde_tn
《山田社》袖珍本精修重音版新制對應絕對合格！日檢必背單字N2[9折],288,288,https://shopee.tw//《山田社》袖珍本精修重音版新制對應絕對合格！日檢必背單字N2-9折--i.42458033.6017571431,https://cf.shopee.tw/file/eefbd50d5ee2f140816077d21ec0ca08_tn
JLPT N2日檢單字文法 模擬試題(含CD),100,100,https://shopee.tw//JLPT-N2日檢單字文法-模擬試題(含CD)-i.6719336.7240830475,https://cf.shopee.tw/file/2dd8844bc7e43f6a2881d62d1f26eefc_tn
