商品,價格1,價格2,網址,圖片
書呆子袖珍本　精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）,240,240,https://shopee.tw//書呆子袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-i.104827966.6517413017,https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn
日檢N2單字大全《搶分進考場》 [二手書_良好] 9247,170,170,https://shopee.tw//日檢N2單字大全《搶分進考場》-二手書_良好-9247-i.159834670.6652814065,https://cf.shopee.tw/file/3d10714f485e6b29f4e680057cabb931_tn
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格ポイント（附MP3）,280,280,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格ポイント（附MP3）-i.5696884.6241757851,https://cf.shopee.tw/file/140b77aae0a2a354e8782c2d7aab8c1e_tn
絕對合格日檢必背單字N2（口袋書）,199,199,https://shopee.tw//絕對合格日檢必背單字N2（口袋書）-i.4804854.6118273792,https://cf.shopee.tw/file/acc200b4e92df26a26acc673725a0b40_tn
IKU老師說一定會考的新日檢高分單字N2~N1（數位學習版）[二手書_良好]8912,416,416,https://shopee.tw//IKU老師說一定會考的新日檢高分單字N2~N1（數位學習版）-二手書_良好-8912-i.159834670.6651975582,https://cf.shopee.tw/file/a0fbf9626d22de397f8b5a16cdc57d1f_tn
<書本熊>[希伯崙] IKU老師說一定會考的新日檢高分單字N2~N1佐藤生：9789865776190,493,493,https://shopee.tw//-書本熊-希伯崙-IKU老師說一定會考的新日檢高分單字N2~N1佐藤生：9789865776190-i.25236816.6635257326,https://cf.shopee.tw/file/bb14cea163ed07b640f46f228afd82de_tn
9789869779555【大師圖書雅典-永】日檢單字+文法一本搞定N2,236,236,https://shopee.tw//9789869779555【大師圖書雅典-永】日檢單字-文法一本搞定N2-i.59926168.6116935146,https://cf.shopee.tw/file/799bfed017844eba98a1abcf2a05af97_tn
(山田社)新制日檢！絕對合格 N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ+MP3）,287,287,https://shopee.tw//(山田社)新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）-i.163145167.6435666474,https://cf.shopee.tw/file/25d7f13d7ddf935ced02ecb4074551cb_tn
<書本熊2館>[山田社]絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3)：9789862465530,291,291,https://shopee.tw//-書本熊2館-山田社-絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)：9789862465530-i.155768384.6410541056,https://cf.shopee.tw/file/e83a3bc2765a1296e90a336cce656336_tn
"新日檢JLPT N2關鍵單字2,500：主考官的單字庫完全收錄，新日檢N2快速過關！",299,299,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！-i.4391689.5641255187,https://cf.shopee.tw/file/925014578a84c149b3f302fef8f429ff_tn
"<書本熊2館>[山田社]新制日檢!絕對合格N1,N2單字全真模考三回+詳解（25K）：9789862465073",291,291,https://shopee.tw//-書本熊2館-山田社-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073-i.155768384.6510541078,https://cf.shopee.tw/file/781568efd5816742c3876f5e7e211350_tn
"《山田社》新制日檢！絕對合格N1,N2單字全真模考三回＋詳解[9折]",332,332,https://shopee.tw//《山田社》新制日檢！絕對合格N1-N2單字全真模考三回＋詳解-9折--i.42458033.6647803393,https://cf.shopee.tw/file/1644d3043c18f2b4855268cec1c7ca91_tn
"新日檢JLPT N2關鍵單字2,500：主考 官的單字庫完全收錄，新日檢N2快速 過關！（附1主考官一定會考的單字 隨身",300,300,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考-官的單字庫完全收錄，新日檢N2快速-過關！（附1主考官一定會考的單字-隨身-i.140052058.5617151604,https://cf.shopee.tw/file/a2a42e4f7b09932149482a6bf8d34fb7_tn
<書本熊二館>[山田社]精修重音版 新制對應 絕對合格！日檢必背單字N2 (25K+MP3)：9789862465455,338,338,https://shopee.tw//-書本熊二館-山田社-精修重音版-新制對應-絕對合格！日檢必背單字N2-(25K-MP3)：9789862465455-i.155768384.6410541010,https://cf.shopee.tw/file/e6a84c5d447c21d61d0abd25de4cbd45_tn
新日檢必考單字速成 N1 N2 N3 N4 N5,244,244,https://shopee.tw//新日檢必考單字速成-N1-N2-N3-N4-N5-i.6385563.5442380344,https://cf.shopee.tw/file/6d48c08a97be5a44a5da09157ba44721_tn
【優質】袖珍本　精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）,240,240,https://shopee.tw//【優質】袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）-i.4947210.5717826382,https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn
最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！[66折]11100840151,329,329,https://shopee.tw//最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！-66折-11100840151-i.159834670.6313223935,https://cf.shopee.tw/file/d71f7c952f8ed156f8cfeb47968044ed_tn
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格 [二手書_良好] 8538,289,289,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-8538-i.159834670.5857968648,https://cf.shopee.tw/file/3d76bc8ebeaf30ad5343983883e9ec8a_tn
N2 絕對合格 日檢必背單字 （全新含CD）,199,199,https://shopee.tw//N2-絕對合格-日檢必背單字-（全新含CD）-i.19435293.4810535963,https://cf.shopee.tw/file/fcb1203da2eef332cac8ad96af4afede_tn
"(山田社)日檢必背文法及重音版單字大全套熱銷套書(25K＋2MP3）：新制日檢！絕對合格 N1,N2,N3,N4,N5",697,697,https://shopee.tw//(山田社)日檢必背文法及重音版單字大全套熱銷套書(25K＋2MP3）：新制日檢！絕對合格-N1-N2-N3-N4-N5-i.163145167.5036316007,https://cf.shopee.tw/file/eeb6f4cb61557fc032312846fd4ff9ed_tn
新日檢考試有祕密：全方位N2單字+全真模擬試題[88折]11100702064,395,395,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題-88折-11100702064-i.159834670.5629728686,https://cf.shopee.tw/file/3e32f23751230b0cf799d5ec475385bf_tn
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格[二手書_良好]1440,289,289,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-1440-i.159834670.5740836776,https://cf.shopee.tw/file/2c50ee4db21088bc8f3d7d6ca4a28b41_tn
史上最強日檢N2文法+單字精選模擬試題,172,172,https://shopee.tw//史上最強日檢N2文法-單字精選模擬試題-i.121090005.4517229517,https://cf.shopee.tw/file/7f6d748e3991a05941b9680c07a8c9c3_tn
袖珍本　精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）(高雄明儀書店),240,240,https://shopee.tw//袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）(高雄明儀書店)-i.171448792.5231768260,https://cf.shopee.tw/file/9e2b327fcffa211e7fbf1da8c5c3d72f_tn
新日檢絕對合格 N1 N2 N3 N4 N5 單字大全(內附MP3光碟),360,360,https://shopee.tw//新日檢絕對合格-N1-N2-N3-N4-N5-單字大全(內附MP3光碟)-i.57453178.4441703264,https://cf.shopee.tw/file/55e79ccdb70fe8dced3d3ba85784b891_tn
日檢單字＋文法一本搞定N2（＋MP3）,224,224,https://shopee.tw//日檢單字＋文法一本搞定N2（＋MP3）-i.121090005.4507265016,https://cf.shopee.tw/file/7955f2a7e166f2f8eee6810c9c000777_tn
